demand_line_id,asn,part_number,quantity_needed,delivery_date
DL00140,ASN500110,P1046,27,2026-01-12
DL00238,ASN500129,P1081,135,2026-03-31
DL01089,ASN500033,P1377,98,2026-03-09
DL00613,ASN500126,P1216,119,2026-03-12
DL01051,ASN500105,P1366,73,2026-02-26
DL00791,ASN500010,P1281,146,2026-02-14
DL00892,ASN500049,P1312,149,2026-03-07
DL00338,ASN500137,P1116,149,2026-02-02
DL00955,ASN500077,P1331,153,2026-02-20
DL00109,ASN500057,P1032,158,2026-01-06
DL00621,ASN500026,P1220,94,2026-04-27
DL00532,ASN500088,P1187,76,2026-03-13
DL00277,ASN500077,P1094,155,2026-01-23
DL01017,ASN500001,P1353,129,2026-04-27
DL01009,ASN500057,P1349,12,2026-02-07
DL00333,ASN500094,P1114,87,2026-04-14
DL00716,ASN500027,P1255,95,2026-03-19
DL00190,ASN500052,P1064,70,2026-01-10
DL00843,ASN500079,P1297,162,2026-02-16
DL00749,ASN500001,P1266,79,2026-02-25
DL00104,ASN500077,P1031,37,2026-03-27
DL00408,ASN500057,P1142,42,2026-02-20
DL00129,ASN500036,P1040,111,2026-01-12
DL00142,ASN500138,P1046,119,2026-01-30
DL00676,ASN500070,P1240,137,2026-01-18
DL01077,ASN500039,P1373,174,2026-03-05
DL01019,ASN500115,P1354,59,2026-03-21
DL00078,ASN500030,P1022,47,2026-03-29
DL00983,ASN500023,P1339,96,2026-04-20
DL00006,ASN500022,P1001,41,2026-02-26
DL00137,ASN500000,P1043,25,2026-02-10
DL00679,ASN500105,P1241,145,2026-03-21
DL00450,ASN500013,P1157,79,2026-02-12
DL00406,ASN500033,P1142,22,2026-04-19
DL00418,ASN500098,P1146,19,2026-01-16
DL00288,ASN500042,P1097,5,2026-01-11
DL00706,ASN500087,P1251,140,2026-04-11
DL00310,ASN500084,P1105,158,2026-02-05
DL00343,ASN500088,P1121,136,2026-02-08
DL01048,ASN500002,P1365,88,2026-04-04
DL00304,ASN500111,P1102,180,2026-04-16
DL00502,ASN500085,P1175,160,2026-04-08
DL00181,ASN500095,P1062,15,2026-04-28
DL00067,ASN500095,P1019,114,2026-04-29
DL00834,ASN500111,P1295,130,2026-01-30
DL00844,ASN500047,P1298,170,2026-04-21
DL00651,ASN500042,P1230,35,2026-01-13
DL00023,ASN500125,P1005,72,2026-01-06
DL00375,ASN500075,P1131,123,2026-01-08
DL00946,ASN500094,P1328,67,2026-04-19
DL00173,ASN500063,P1059,52,2026-02-06
DL00701,ASN500089,P1249,120,2026-01-07
DL00622,ASN500024,P1220,50,2026-01-11
DL00358,ASN500082,P1124,48,2026-03-06
